Team,Matches,GoalsFor,GoalsAgainst,Points,GoalDifference,PointsPerMatch
Arsenal,38,91,29,89,62,2.3421052631578947
Aston Villa,38,76,61,68,15,1.7894736842105263
Bournemouth,38,54,67,48,-13,1.263157894736842
Brentford,38,56,65,39,-9,1.0263157894736843
Brighton,38,55,62,48,-7,1.263157894736842
Burnley,38,41,78,24,-37,0.631578947368421
Chelsea,38,77,63,63,14,1.6578947368421053
Crystal Palace,38,57,58,49,-1,1.2894736842105263
Everton,38,40,51,48,-11,1.263157894736842
Fulham,38,55,61,47,-6,1.236842105263158
Liverpool,38,86,41,82,45,2.1578947368421053
Luton,38,52,85,26,-33,0.6842105263157895
Man City,38,96,34,91,62,2.3947368421052633
Man United,38,57,58,60,-1,1.5789473684210527
Newcastle,38,85,62,60,23,1.5789473684210527
Nott'm Forest,38,49,67,36,-18,0.9473684210526315
Sheffield United,38,35,104,16,-69,0.42105263157894735
Tottenham,38,74,61,66,13,1.736842105263158
West Ham,38,60,74,52,-14,1.368421052631579
Wolves,38,50,65,46,-15,1.2105263157894737
